EPHB2	KALRN	0.52
EPHA4	FGFR1	0.83
EPHA4	FGFR2	0.73
EPHA4	FGFR3	0.75
EGFR	MET	0.9
EGFR	ERBB4	0.89
ERBB4	ERBB4	0.9
DGKA	SRC	0.81
EGFR	EPHA2	0.83
FYN	KIT	0.78
HCK	KIT	0.85
IGF1R	INSR	0.75
IGF1R	JAK2	0.76
INSR	JAK1	0.77
INSR	JAK2	0.83
INSR	SRC	0.52
JAK1	FES	0.52
AKT1	PRKDC	0.88
AKT1	PDK2	0.52
AKT1	PAK1	0.87
AKT1	WNK1	0.55
MET	MET	0.8
KIT	ABL1	0.86
KIT	BTK	0.52
LYN	TEC	0.85
FGFR2	PAK4	0.67
FES	JAK3	0.52
IRAK1	BTK	0.65
IRAK1	RIPK2	0.52
RIPK1	RIPK1	0.9
TBK1	TBK1	0.9
BCR	SRC	0.52
TIE1	TIE1	0.52
STK11	SNRK	0.6
CDC7	CDK4	0.7
CDK5	CDK5	0.88
FYN	CDK5	0.52
ABL1	CDK5	0.55
CDK5	SRC	0.55
CDK5	ERBB3	0.52
GAK	CDK5	0.84
CDK5	PAK1	0.77
SGK1	GSK3B	0.55
SRC	SRC	0.94
PLK1	BUB1	0.69
STK39	WNK4	0.73
FGFR4	EPHA4	0.65
CSK	CSK	0.81
CSK	FYN	0.87
CSK	HCK	0.52
IGF1R	CSK	0.79
INSR	CSK	0.67
CSK	LCK	0.84
CSK	FGR	0.62
CSK	LYN	0.52
CSK	SRC	0.89
KSR1	RAF1	0.78
EGFR	LYN	0.9
PAK2	LCK	0.59
PAK2	HCK	0.76
PAK2	LYN	0.65
PAK2	FYN	0.65
STK25	STK25	0.87
PIM1	EPHA3	0.55
NEK11	NEK2	0.77
NEK11	NEK11	0.65
PAK2	LIMK1	0.78
PAK2	RAF1	0.88
KSR1	EPHB2	0.52
KSR1	MARK3	0.78
GSK3B	CDK5	0.75
ERBB4	ERBB2	0.96
TNIK	TNIK	0.52
PKN3	PKN3	0.52
MARK4	MARK4	0.52
STK10	STK10	0.87
GSK3A	GSK3A	0.78
PAK4	PAK4	0.65
WEE1	WEE1	0.52
CDK3	CDK3	0.82
CDK2	CDK2	0.92
EGFR	EGFR	0.9
JAK2	EGFR	0.88
EGFR	ERBB2	0.9
FER	EGFR	0.83
SRC	EGFR	0.97
ERBB3	EGFR	0.9
PTK6	EGFR	0.88
RIPK1	EGFR	0.73
FGFR3	FGFR3	0.9
FGFR4	FGFR4	0.81
FGFR1	FGFR1	0.9
FLT3	FLT3	0.71
JAK2	FYN	0.88
RAF1	FYN	0.89
CSF1R	FYN	0.88
TYK2	FYN	0.89
EPHA8	FYN	0.89
ZAP70	FYN	0.84
ITK	FYN	0.87
FYN	TXK	0.55
TYRO3	FYN	0.62
NTRK2	FYN	0.88
EPHB3	FYN	0.88
EPHA4	FYN	0.88
HCK	HCK	0.78
HCK	BCR	0.84
ABL2	HCK	0.77
ABL1	HCK	0.86
BTK	HCK	0.85
IGF1R	IGF1R	0.89
JAK1	IGF1R	0.76
SRC	IGF1R	0.77
INSR	INSR	0.99
INSRR	INSR	0.84
RAF1	INSR	0.52
GSK3A	SGK1	0.55
JAK1	JAK1	0.66
RAF1	JAK1	0.73
JAK1	TYK2	0.84
FER	JAK1	0.59
ABL1	JAK1	0.85
BTK	JAK1	0.73
JAK3	JAK1	0.8
TEC	JAK1	0.73
JAK2	JAK2	0.9
BCR	JAK2	0.65
JAK2	RAF1	0.87
ERBB2	JAK2	0.73
KIT	JAK2	0.85
LYN	JAK2	0.82
ABL1	JAK2	0.66
JAK3	JAK2	0.75
TEC	JAK2	0.87
ABL1	BCR	0.9
FES	BCR	0.89
BLK	BCR	0.52
LCK	LCK	0.96
RAF1	LCK	0.83
KIT	LCK	0.88
LCK	ZAP70	0.9
LCK	ITK	0.65
JAK3	LCK	0.65
ALK	ALK	0.81
JAK3	ALK	0.83
HIPK3	LIMK2	0.63
ABL1	ABL2	0.89
EPHB2	ABL2	0.67
AKT2	AKT1	0.85
AKT1	RAF1	0.9
SRC	AKT1	0.8
AKT1	IRAK1	0.74
ILK	AKT1	0.88
PKN2	AKT1	0.84
PDPK1	AKT1	0.9
AKT1	GSK3A	0.8
TRIB3	AKT1	0.96
GSK3B	AKT2	0.78
PDPK1	AKT2	0.78
TRIB3	AKT2	0.84
RAF1	RAF1	0.9
SRC	RAF1	0.9
PAK3	RAF1	0.66
PAK1	RAF1	0.9
DMPK	RAF1	0.62
KSR2	RAF1	0.52
RET	RET	0.9
SRC	RET	0.88
CSF1R	CSF1R	0.88
LYN	CSF1R	0.73
SRC	MET	0.9
ERBB2	ERBB2	0.9
SRC	ERBB2	0.9
ERBB3	ERBB2	0.97
MATK	ERBB2	0.87
EGFR	CSK	0.9
ERBB3	CSK	0.75
LRRK1	PAK4	0.76
STK24	STK25	0.9
PASK	STK16	0.76
ROCK2	STK16	0.76
TTBK1	TTBK2	0.82
NEK6	NEK7	0.89
SNRK	STK16	0.76
CDK4	LYN	0.76
BMPR2	ACVR1	0.89
ATR	ABL1	0.83
ATR	ATM	0.75
ATR	ATR	0.76
BCR	KIT	0.83
JAK1	ABL2	0.72
AURKB	AURKB	0.88
TSSK2	TSSK2	0.65
CDK5	LMTK2	0.77
BAZ1A	BAZ1B	0.85
FGFR2	FGFR2	0.9
ILK	ILK	0.83
STK39	STK39	0.65
CDK2	CDK6	0.79
SRC	FYN	0.89
SRC	LYN	0.85
PRKDC	AKT2	0.75
EGFR	IGF1R	0.82
AKT1	PAK6	0.75
PDK1	PKN2	0.87
PDK1	PKN1	0.72
LCK	PI4KA	0.87
BTK	FYN	0.75
CSF1R	SRC	0.72
ITK	SRC	0.75
TNK1	TNK1	0.75
SMG1	SMG1	0.65
LMTK2	LMTK2	0.65
FYN	FYN	0.97
RAF1	LTK	0.72
PKN2	PKN2	0.85
CDK9	CDK9	0.88
SRC	EPHA3	0.75
SRC	EPHA4	0.75
FYN	EPHA3	0.75
MLKL	CDK1	0.63
AKT1	MARK2	0.72
ABL1	EPHA3	0.75
VRK1	VRK1	0.84
BRD4	CDK9	0.9
MARK2	MARK1	0.76
MARK2	MARK3	0.87
MARK2	MARK4	0.76
ATM	TAOK3	0.72
UHMK1	ABL1	0.63
ABL1	CDKL5	0.63
WNK2	ABL1	0.63
NEK8	ABL1	0.63
ABL1	ABR	0.63
RIPK2	RIPK2	0.88
ABL2	SRC	0.63
RIPK3	RIPK3	0.9
RIPK3	PRKDC	0.72
FYN	ABL2	0.63
FYN	NEK8	0.63
CDKL5	FYN	0.63
FYN	MOS	0.63
WNK2	FYN	0.63
FYN	ABL1	0.63
EGFR	TBRG4	0.82
NEK1	NEK1	0.63
EGFR	EPHB4	0.63
BMX	PIM1	0.73
RIPK3	DAPK1	0.72
WEE1	NEK6	0.63
OXSR1	OXSR1	0.89
MELK	STK16	0.63
ROR1	SRC	0.78
VRK1	PLK3	0.75
VRK1	VRK3	0.56
JAK2	ERBB3	0.63
OXSR1	WNK4	0.78
OXSR1	WNK1	0.88
ABL1	EGFR	0.9
ABL1	ERBB2	0.86
ABL1	ERBB3	0.78
ABL1	ERBB4	0.78
FES	EGFR	0.78
HCK	ERBB3	0.78
FGR	ERBB2	0.78
FGFR1	ERBB3	0.63
SRC	ERBB3	0.78
FER	ERBB2	0.78
FER	ERBB3	0.78
JAK1	ERBB2	0.63
AKT1	STK4	0.94
TEC	ERBB2	0.63
TXK	ERBB2	0.78
TXK	ERBB3	0.78
ABL2	EGFR	0.89
ABL2	ERBB2	0.85
ABL2	ERBB3	0.78
ABL2	ERBB4	0.78
ZAP70	EGFR	0.9
ZAP70	ERBB3	0.78
BLK	EGFR	0.9
BLK	ERBB2	0.78
BMX	EGFR	0.63
BMX	ERBB2	0.63
JAK3	ERBB3	0.63
PLK1	PLK1	0.9
ITK	ERBB2	0.78
ITK	ERBB3	0.78
PDK1	SGK3	0.7
CDK4	CDK7	0.68
CDK7	CDK5	0.68
PDK1	PDK1	0.88
LRRK2	LRRK2	0.9
SYK	SYK	0.96
ERBB2	PTK6	0.88
ILK	PDK1	0.49
AKT2	ROCK1	0.63
IGF1R	HIPK1	0.63
PI4KB	PI4KB	0.63
AKT2	MARK2	0.63
CDKL5	CDKL5	0.75
ALK	GAK	0.63
ALK	MYLK	0.63
ALK	EPHB2	0.63
ALK	EPHA1	0.63
ALK	JAK2	0.63
ULK2	ULK2	0.63
STK3	STK4	0.9
LRRK1	BCR	0.68
TTK	TTK	0.83
ULK2	PLK1	0.63
WNK2	WNK1	0.63
STK4	TAOK1	0.72
MARK2	MARK2	0.88
STK3	PLK1	0.84
MKNK1	PRKDC	0.63
ULK1	ULK1	0.83
CDK5	MAST1	0.63
BUB1	BUB1	0.72
LRRK1	ABL1	0.85
BTK	MYLK2	0.68
VRK2	KSR1	0.8
WNK1	WNK1	0.63
BUB1	BUB1B	0.89
BUB1B	BUB1B	0.82
TRRAP	CDK8	0.75
GSK3A	GSK3B	0.77
PAK3	PLK1	0.56
PAK1	PLK1	0.56
ERBB2	CSK	0.63
CDK9	ATR	0.76
SRPK1	SRPK2	0.87
LATS1	NUAK1	0.73
LRRK2	AKT1	0.77
PLK1	NEK9	0.77
MET	PASK	0.63
SRC	JAK2	0.72
ARAF	WNK1	0.63
EGFR	MAST1	0.86
CDK9	CDC7	0.63
PAK6	NEK6	0.63
PAK2	RIOK3	0.63
HIPK2	MKNK1	0.63
IRAK3	NTRK3	0.63
ARAF	TESK1	0.63
NUAK1	STK11	0.68
PDK3	EGFR	0.82
ATR	CLK2	0.73
BRD2	BRD2	0.83
RYK	PRKDC	0.63
FGFR1	JAK2	0.63
ABL1	STK4	0.65
RYK	EPHA4	0.73
IGF1R	ERBB2	0.82
PDK1	SGK1	0.52
PDPK1	MTOR	0.63
MTOR	STK38	0.72
RYK	PTK7	0.63
HCK	SRC	0.78
FGFR1	SRC	0.73
GSK3B	PIM2	0.63
PLK1	VRK3	0.63
LATS2	LATS1	0.85
AURKA	TLK1	0.65
FYN	CDK1	0.63
ATM	DYRK2	0.52
MTOR	MTOR	0.89
MTOR	ABL1	0.63
ALK	CDK13	0.63
MTOR	AKT1	0.9
CDK5	CDK16	0.69
AURKA	TLK2	0.65
BRD4	BRD2	0.81
RIPK2	RIPK1	0.63
AKT1	BRAF	0.86
SGK1	RAF1	0.73
LYN	CDK1	0.86
AKT1	ERBB3	0.63
GSK3B	MTOR	0.63
RYK	CDK1	0.63
AURKA	PLK1	0.89
IRAK4	IRAK2	0.88
ROS1	EGFR	0.63
